config,question_id,type,question,predicted,correct,score_mcq,score_numeric,score_explanation
Base,1,mcq,Which of the following units is an SI base unit? (A) Newton (B) Joule (C) Kilogram (D) Watt,"All of the given units (A) Newton, (B) Joule, (C) Kilogram, and (D) Watt are SI base units.

Newton (N) is the unit of mass times acceleration, and it measures the force.
Joule (J) is the unit of energy.
Kilogram (kg) is the base unit of mass.
Watt (W) is the unit of power.

The International System of Units (SI) has seven base units: meter (m), kilogram (kg), second (s), ampere (A), kelvin (K), mole (mol), and candela (cd). Newton, Joule, kilogram, and watt are derived from these seven base units.",C,0.0,0.0,0.0
Base,2,numeric,"If an object travels 100 meters in 4 seconds, what is its average speed in m/s?","To find the average speed of an object, you can use the formula:

Average speed = Total distance ÷ Total time

Given:
Total distance = 100 meters
Total time = 4 seconds

Calculation:
Average speed = 100 meters ÷ 4 seconds

Average speed = 25 meters/second

So, the average speed of the object is 25 m/s.",25,0.0,1.0,0.0
Base,3,explanation,Explain the difference between accuracy and precision in the context of experimental physics.,"In experimental physics, accuracy and precision are two important concepts used to evaluate the results of an experiment. While they may seem similar, they refer to different aspects of the data.

Accuracy is a measure of how close the measured value is to the true value or target value. It indicates how well the measurement agrees with the actual value. For example, if a measurement of a mass is 10.1 g for a substance that actually weighs 10 g, then the measurement is 99% accurate.

Precision, on the other hand, refers to the degree of agreement among repeated measurements of the same quantity. It measures the consistency or reproducibility of the results. For instance, if ten measurements of the same mass yield values of 10.1 g, 10.05 g, 10.12 g, and so on, the measurement is precise.

The relationship between accuracy and precision can be illustrated through the bullseye analogy. A target with a small bullseye represents high precision, as the repeated measurements are consistent and clustered close together. However, if the bullseye is not centered on the target, the measurement is not very accurate. Conversely, if the bullseye is centered but large, the measurement may be accurate, but not very precise. In an ideal experiment, both accuracy and precision are high.","Accuracy refers to how close a measurement is to the true or accepted value. Precision refers to how close repeated measurements are to each other, regardless of whether they are accurate.",0.0,0.0,5.0
Base,4,mcq,What is the dimension of Force? (A) MLT^-1 (B) MLT^-2 (C) ML^2T^-2 (D) LT^-2,"The correct answer is (C) ML^2T^-2.

Force is a vector physical quantity with the SI unit of Newton (N), which is defined as the mass of an object multiplied by its acceleration (mass × acceleration = mass × force/mass = force). According to the SI system, mass has the unit M, length has the unit L, and time has the unit T. Therefore, force has the dimension ML/T^2 or ML^2/T^2, which can be simplified to ML^2T^-2.",B,0.0,0.0,0.0
Base,5,numeric,A car accelerates from rest to 20 m/s in 5 seconds. What is the magnitude of its average acceleration in m/s^2?,"To find the average acceleration of the car, we can use the formula:

acceleration = change in velocity / change in time

Given:
change in velocity = final velocity - initial velocity = 20 m/s
change in time = 5 seconds

So,
acceleration = 20 m/s / 5 s
acceleration = 4 m/s^2

Therefore, the magnitude of the average acceleration of the car is 4 m/s^2.",4,0.0,0.0,0.0
Base,6,mcq,Which vector operation results in a scalar? (A) Cross product (B) Dot product (C) Vector addition (D) Scalar multiplication,"The correct answer is: B. Dot product results in a scalar.

Explanation:
A cross product is a vector operation that produces a new vector. It is used to find the normal vector to a plane or the vector product of two given vectors.

Vector addition is a vector operation that combines two vectors into a single vector. The result is also a vector.

Scalar multiplication is a scalar operation that multiplies a scalar value by a vector, resulting in a new vector.

However, a dot product is a scalar operation that computes the scalar value of the product of two vectors. It is represented as a dot (•) or a point between the two vectors in symbolic representation. The result of a dot product is a scalar value.",B,1.0,0.0,0.0
Base,7,mcq,An object in uniform circular motion has a constant: (A) Velocity (B) Speed (C) Acceleration vector (D) Displacement,"The answer is (B) Speed. In uniform circular motion, the object moves at a constant speed, but its velocity changes as it changes direction. The acceleration vector is always directed towards the center of the circle and changes in magnitude as the object moves closer or farther from the center. Displacement, on the other hand, is a vector quantity that represents the change in position of an object, so it is not constant in circular motion.",B,1.0,0.0,0.0
Base,8,numeric,calculate the work done (in Joules) by a 10 N force moving an object 5 meters in the direction of the force.,"The work done by a force acting on an object is given by the equation:

Work = Force * Distance

In this case, the force is 10 N and the distance is 5 meters. So, the work done would be:

Work = 10 N * 5 m
Work = 50 Joules",50,0.0,1.0,0.0
Base,9,explanation,Why does a passenger in a turning car feel pushed to the side?,"When a car turns, the force of inertia acts against the direction of the turn. This means that the passengers and any objects inside the car tend to stay in a straight line relative to the car's original motion, rather than following the direction of the turn.

As the car makes a turn, the outside tires experience more friction with the road, which causes the car to slow down and change direction more gradually than the inside tires. This difference in the rate of change in speed creates a horizontal centripetal force, which pushes the passengers towards the center of the turn.

However, because the car is also moving forward, there is also a horizontal component of the inertia force acting on the passengers. This force tends to keep the passengers moving forward in a straight line relative to the original motion of the car.

When these two forces (the centripetal force and the inertia force) act at the same time, they combine to create an apparent force that pushes the passengers to the side of the car, opposite to the direction of the turn. This is why passengers in a turning car feel pushed to the side.

It's important to note that this force is an illusion, as there is no real external force pushing the passengers to the side. Instead, it's the result of the interaction between the car's motion and the forces of inertia and centripetal acceleration.","This is due to basic inertia (Newton's First Law). The passenger's body tends to continue moving in a straight line, while the car turns. The sensation of being pushed outward is a 'fictitious force' (centrifugal force) experienced in the non-inertial reference frame of the car.",0.0,0.0,4.5
Base,10,mcq,The slope of a velocity-time graph represents: (A) Displacement (B) Acceleration (C) Force (D) Momentum,"The slope of a velocity-time graph represents acceleration. This is because the change in velocity (the difference between final and initial velocity) over a given time interval is a measure of acceleration. So, the slope of the velocity-time graph, which represents the change in velocity per unit time, is a direct measure of acceleration.",B,0.0,0.0,0.0
