config,question_id,type,question,predicted,correct,score_mcq,score_numeric,score_explanation
finetuned,1,mcq,Which of the following units is an SI base unit? (A) Newton (B) Joule (C) Kilogram (D) Watt,"{""Answer"": ""The Newton (N) is an SI base unit, as it is the base unit for force.""}",C,0.0,0.0,0.0
finetuned,2,numeric,"If an object travels 100 meters in 4 seconds, what is its average speed in m/s?","The average speed of the object is 25 m/s, calculated as the total distance traveled (100 meters) divided by the elapsed time (4 seconds).",25,0.0,0.0,0.0
finetuned,3,explanation,Explain the difference between accuracy and precision in the context of experimental physics.,"Accuracy refers to how close a measurement is to the accepted reference value, while precision refers to how close the agreement is between repeated independent measurements under the same conditions.","Accuracy refers to how close a measurement is to the true or accepted value. Precision refers to how close repeated measurements are to each other, regardless of whether they are accurate.",0.0,0.0,5.0
finetuned,4,mcq,What is the dimension of Force? (A) MLT^-1 (B) MLT^-2 (C) ML^2T^-2 (D) LT^-2,"{""dimension"": ""LT^-2""}",B,0.0,0.0,0.0
finetuned,5,numeric,A car accelerates from rest to 20 m/s in 5 seconds. What is the magnitude of its average acceleration in m/s^2?,"The magnitude of the average acceleration is the change in velocity divided by the change in time, which is 20 m/s / 5 s = 4 m/s^2.",4,0.0,0.0,0.0
finetuned,6,mcq,Which vector operation results in a scalar? (A) Cross product (B) Dot product (C) Vector addition (D) Scalar multiplication,"{""explanation"": ""The cross product results in a vector that is perpendicular to the input vectors, while the dot product results in a scalar that represents the product of the magnitudes of the input vectors and the cosine of the angle between them. Vector addition and scalar multiplication are operations that result in vectors that are either the sum of the input vectors or the product of the input vectors and a scalar, respectively.""}",B,0.0,0.0,0.0
finetuned,7,mcq,An object in uniform circular motion has a constant: (A) Velocity (B) Speed (C) Acceleration vector (D) Displacement,"{""answer"": ""The object has a constant (B) speed and (C) acceleration vector.""}",B,0.0,0.0,0.0
finetuned,8,numeric,calculate the work done (in Joules) by a 10 N force moving an object 5 meters in the direction of the force.,"The work done by a 10 N force moving an object 5 meters in the direction of the force is:
Work = Fd * d = 10 N * 5 m = 50 Joules",50,0.0,1.0,0.0
finetuned,9,explanation,Why does a passenger in a turning car feel pushed to the side?,"{""result"": ""The passenger in a turning car feels pushed to the side due to the Coriolis force. The Coriolis force is an inertial force that causes objects to rotate in a counterclockwise direction in the Northern Hemisphere and a clockwise direction in the Southern Hemisphere. This force creates the sensation of being pushed to the side during a turn, as the passenger's inertia tends to make them continue moving in a straight line, while the car is turning. The Coriolis force provides the necessary centripetal force to make the passenger's circular motion consistent with the car's turn.""}","This is due to basic inertia (Newton's First Law). The passenger's body tends to continue moving in a straight line, while the car turns. The sensation of being pushed outward is a 'fictitious force' (centrifugal force) experienced in the non-inertial reference frame of the car.",0.0,0.0,2.0
finetuned,10,mcq,The slope of a velocity-time graph represents: (A) Displacement (B) Acceleration (C) Force (D) Momentum,The slope of a velocity-time graph represents: (B) Acceleration,B,0.0,0.0,0.0
finetuned,11,numeric,A 2 kg block slides down a frictionless 30-degree incline. value of g is 9.8 m/s^2. What is the acceleration along the incline in m/s^2?,"{""acceleration"": {""magnitude"": 1.47, ""direction"": ""down the incline""}}",4.9,0.0,0.0,0.0
finetuned,12,mcq,Which of Newton's laws explains recoil in a gun? (A) First Law (B) Second Law (C) Third Law (D) Law of Gravitation,"{""Answer"": ""C) Third Law""}",C,1.0,0.0,0.0
finetuned,13,explanation,Describe the relationship between kinetic energy and work as stated by the Work-Energy Theorem.,"The Work-Energy Theorem states that the net work done on an object is equal to the change in its kinetic energy. This means that work done on an object increases its kinetic energy, while work done by an object decreases its kinetic energy.","The Work-Energy Theorem states that the net work done on an object is equal to the change in its kinetic energy ($W_{net} = \Delta KE$). If positive work is done, kinetic energy increases; if negative work is done, it decreases.",0.0,0.0,4.5
finetuned,14,mcq,"If the distance between two masses is doubled, the gravitational force between them becomes: (A) Double (B) Half (C) One-fourth (D) Four times","The gravitational force between two masses is inversely proportional to the distance between them. If the distance between the two masses is doubled, the gravitational force between them will be halved, since the denominator in the formula F = k / r^2 will be twice as large.",C,0.0,0.0,0.0
finetuned,15,numeric,Convert 72 km/h to m/s.,"To convert 72 km/h to m/s, we can use the conversion factor of 1 km/h = 1000 m/s. 
72 km/h × (1000 m/1 km) = 72,000 m/s.",20,0.0,0.0,0.0
finetuned,16,explanation,Explain why static friction is usually greater than kinetic friction.,"When an object is stationary, the forces acting on it are not in equilibrium, so it can support a greater normal force. This higher normal force leads to a higher static friction force. However, when the object starts to move, it experiences kinetic friction, which is lower than the static friction force.","Static friction arises from the interlocking of irregularities and molecular bonds between surfaces at rest, requiring more force to break them ('cold welding'). Kinetic friction occurs when surfaces are already sliding, where the contact points don't have enough time to bond as strongly.",0.0,0.0,4.5
finetuned,17,mcq,Potential energy is associated with: (A) Motion (B) Position (C) Time (D) Velocity,"{""answer"": ""B. Position""}",B,1.0,0.0,0.0
finetuned,18,numeric,A spring with constant k=100 N/m is compressed by 0.2 m. How much potential energy (in J) is stored?,"{""solution"": ""Given information:\nSpring constant, k = 100 N/m\nDisplacement, x = -0.2 m (compressed)\n\nThe potential energy stored in the spring is given by the formula:\nPotential energy = 1/2 * k * x^2\nSubstituting the values:\nPotential energy = 1/2 * 100 N/m * (-0.2 m)^2 = -4 J""}",2,0.0,0.0,0.0
finetuned,19,mcq,"In an inelastic collision, which quantity is conserved? (A) Kinetic Energy (B) Momentum (C) Both (D) Neither","{""answer"": ""B. Momentum is conserved in an inelastic collision.""}",B,1.0,0.0,0.0
finetuned,20,explanation,What is the difference between mass and weight?,"{""explanation"": ""Mass is a measure of the amount of matter in an object and is a constant property of the object. Weight is the force exerted on an object due to gravity and varies depending on the gravitational field the object is in. Mass is measured in kilograms, while weight is measured in newtons.""}","Mass is the measure of the amount of matter in an object and is intrinsic (scalar, doesn't change with location). Weight is the force of gravity acting on that mass ($W=mg$) and depends on the local gravitational field (vector).",0.0,0.0,4.5
finetuned,21,mcq,The area under a force-displacement graph represents: (A) Impulse (B) Work (C) Power (D) Acceleration,"{""answer"": ""The area under a force-displacement graph represents (B) Work done.""}",B,0.0,0.0,0.0
finetuned,22,numeric,"What is the period (in seconds) of a pendulum of length 1 meter? (Assume g=9.8 m/s^2, use T = 2*pi*sqrt(L/g), pi approx 3.14)","{""period"": ""The period of the pendulum is 2*pi*sqrt(L/g), where L is the length of the pendulum (1 meter) and g is the acceleration due to gravity (9.8 m/s^2). Plugging in the values, we get: T = 2*pi*sqrt(1/9.8) = 2.20 seconds.""}",2.0,0.0,0.0,0.0
finetuned,23,explanation,Use the concept of center of mass to explain why a high jumper uses the Fosbury Flop technique.,"{""answer"": ""When a high jumper uses the Fosbury Flop technique, they are placing their center of mass as far behind them as possible, which helps to increase the vertical force they exert on the ground, and thus their jumping height.""}",The Fosbury Flop allows the jumper to arch their back such that their center of mass passes *under* the bar while their body passes over it. This requires less energy/vertical lift compared to techniques where the center of mass must clear the bar height.,0.0,0.0,3.0
finetuned,24,mcq,Which force is non-conservative? (A) Gravity (B) Spring force (C) Friction (D) Electrostatic force,"{""Answer"": ""C) Friction is non-conservative. When an object is sliding down an inclined plane, the friction force acts in the direction opposite to the motion, and its magnitude depends on the coefficient of kinetic friction, which is less than the coefficient of static friction.""}",C,1.0,0.0,0.0
finetuned,25,numeric,A wheel rotates at 300 revolutions per minute. What is its angular velocity in rad/s? (Use pi=3.14),"{""angular_velocity"": 3.14 * 300}",31.4,0.0,0.0,0.0
