config,question_id,type,question,predicted,correct,score_mcq,score_numeric,score_explanation
finetuned+RAG,1,mcq,Which of the following units is an SI base unit? (A) Newton (B) Joule (C) Kilogram (D) Watt,"{""answer"": ""None of the above are SI base units. The SI base units are: meter, kilogram, second, and ampere.""}",C,0.0,0.0,0.0
finetuned+RAG,2,numeric,"If an object travels 100 meters in 4 seconds, what is its average speed in m/s?","Using the conversion factors of 1 mile = 1609 meters and 1 minute = 60 seconds, we can convert the distance and time units as follows:
$80\text{m}=8.0Ã{10}^{1}\text{m}=8.0Ã{10}^{â2}\text{km}=0.080\text{km,}$
$16\text{min}=16Ã·{10}^{1}\text{min}=16Ã·{10}^{â1}\text{s}=160\text{s.}$
Then, we can calculate the average speed using the formula:
$\text{Average speed}=\frac{\text{Distance}}{\text{Time}}=\frac{0.080\text{km}}{160\text{s}}=0.0005 km/s.\text{Average speed}=\frac{\text{Distance}}{\text{Time}}=\frac{0.080\text{km}}{160\text{s}}=0.0005\text{km/s}.$",25,0.0,0.0,0.0
finetuned+RAG,3,explanation,Explain the difference between accuracy and precision in the context of experimental physics.,"In experimental physics, accuracy and precision are related but distinct concepts:
- Accuracy refers to how close a measurement is to the accepted reference value for that measurement. A measurement is accurate if it is close to the accepted reference value.
- Precision refers to how close the agreement is between the repeated independent measurements under the same conditions. A measurement is precise if the repeated measurements agree closely with each other.
The goal in experimental physics is to have measurements that are both accurate and precise, as this indicates a good understanding of the underlying physical phenomenon.","Accuracy refers to how close a measurement is to the true or accepted value. Precision refers to how close repeated measurements are to each other, regardless of whether they are accurate.",0.0,0.0,5.0
finetuned+RAG,4,mcq,What is the dimension of Force? (A) MLT^-1 (B) MLT^-2 (C) ML^2T^-2 (D) LT^-2,"{""answer"": ""The dimension of force is MLT^-1, where M is mass, L is length, and T is time.""}",B,0.0,0.0,0.0
finetuned+RAG,5,numeric,A car accelerates from rest to 20 m/s in 5 seconds. What is the magnitude of its average acceleration in m/s^2?,"To calculate the magnitude of the average acceleration, we use the equation:

$a\text{â}=\frac{{vâvâ}_{0}}{t}=	ext{â}\frac{20\text{m/s}â0\text{m/s}}{5\text{s}}=4\text{m/s}^2a\text{â}=\frac{20\text{m/s}â0\text{m/s}}{5\text{s}}=4\text{m/s}^2$

Therefore, the magnitude of the average acceleration of the car is 4 m/s^2.",4,0.0,0.0,0.0
finetuned+RAG,6,mcq,Which vector operation results in a scalar? (A) Cross product (B) Dot product (C) Vector addition (D) Scalar multiplication,"{""answer"": ""The cross product of vectors results in a scalar.""}",B,0.0,0.0,0.0
finetuned+RAG,7,mcq,An object in uniform circular motion has a constant: (A) Velocity (B) Speed (C) Acceleration vector (D) Displacement,"{""answer"": ""The object in uniform circular motion has a constant: (B) Speed. It is important to note that uniform circular motion does not require the object to have a constant velocity, but rather a constant speed.""}",B,0.0,0.0,0.0
finetuned+RAG,8,numeric,calculate the work done (in Joules) by a 10 N force moving an object 5 meters in the direction of the force.,"{""work"": 50}",50,0.0,1.0,0.0
finetuned+RAG,9,explanation,Why does a passenger in a turning car feel pushed to the side?,"A passenger in a turning car feels pushed to the side because they are in a non-inertial frame of reference, which is the car. The inertial force that pushes the passenger to the side is due to their inertia, not any physical force.","This is due to basic inertia (Newton's First Law). The passenger's body tends to continue moving in a straight line, while the car turns. The sensation of being pushed outward is a 'fictitious force' (centrifugal force) experienced in the non-inertial reference frame of the car.",0.0,0.0,4.5
finetuned+RAG,10,mcq,The slope of a velocity-time graph represents: (A) Displacement (B) Acceleration (C) Force (D) Momentum,"{""answer"": ""The slope of a velocity-time graph represents: (B) Acceleration""}",B,0.0,0.0,0.0
finetuned+RAG,11,numeric,A 2 kg block slides down a frictionless 30-degree incline. value of g is 9.8 m/s^2. What is the acceleration along the incline in m/s^2?,"{""a"": ""The acceleration of the 2 kg block sliding down the 30-degree incline is given by the formula:\na = mg sin(30°) = (2 kg)(9.8 m/s^2)sin(30°) = 4.4 m/s^2.\nb: The force of the incline on the block can be calculated using the formula:\nF_incline = mg cos(30°) = (2 kg)(9.8 m/s^2)cos(30°) = 17.3 N.""}",4.9,0.0,0.0,0.0
finetuned+RAG,12,mcq,Which of Newton's laws explains recoil in a gun? (A) First Law (B) Second Law (C) Third Law (D) Law of Gravitation,"{""answer"": ""C. Law of Action and Reaction""}",C,1.0,0.0,0.0
finetuned+RAG,13,explanation,Describe the relationship between kinetic energy and work as stated by the Work-Energy Theorem.,"The Work-Energy Theorem states that the work done on an object is equal to the change in its kinetic energy. This theorem relates the work done on an object to its kinetic energy, which is a measure of its motion.","The Work-Energy Theorem states that the net work done on an object is equal to the change in its kinetic energy ($W_{net} = \Delta KE$). If positive work is done, kinetic energy increases; if negative work is done, it decreases.",0.0,0.0,4.0
finetuned+RAG,14,mcq,"If the distance between two masses is doubled, the gravitational force between them becomes: (A) Double (B) Half (C) One-fourth (D) Four times","{""answer"": ""The gravitational force between two masses is inversely proportional to the distance between them. If the distance between the two masses is doubled, the gravitational force between them becomes one-fourth of the original force.""}",C,0.0,0.0,0.0
