config,question_id,type,question,predicted,correct,score_mcq,score_numeric,score_explanation
finetuned,1,mcq,Which of the following units is an SI base unit? (A) Newton (B) Joule (C) Kilogram (D) Watt,"{""solution"": ""It is not clear whether a joule or a newton is an SI base unit, as these units are both SI units. A joule is the SI base unit, and it is defined as 1 N = $1$ J. The other units listed (B, C, and D) are SI units, whereas the Watt is a non-SI unit.""}",C,0.0,0.0,0.0
finetuned,2,numeric,"If an object travels 100 meters in 4 seconds, what is its average speed in m/s?","{""average_speed"": $25$}",25,0.0,1.0,0.0
finetuned,3,explanation,Explain the difference between accuracy and precision in the context of experimental physics.,"Accuracy refers to how close a measurement is to the accepted reference value, while precision refers to the repeatability or consistency of the measurements.","Accuracy refers to how close a measurement is to the true or accepted value. Precision refers to how close repeated measurements are to each other, regardless of whether they are accurate.",0.0,0.0,4.5
finetuned,4,mcq,What is the dimension of Force? (A) MLT^-1 (B) MLT^-2 (C) ML^2T^-2 (D) LT^-2,"The dimension of force is $1$ L, which is also the dimension of weight.",B,0.0,0.0,0.0
finetuned,5,numeric,A car accelerates from rest to 20 m/s in 5 seconds. What is the magnitude of its average acceleration in m/s^2?,$4.0$ m/s^2,4,0.0,1.0,0.0
finetuned,6,mcq,Which vector operation results in a scalar? (A) Cross product (B) Dot product (C) Vector addition (D) Scalar multiplication,The cross product ($A\times B$) is the vector operation that results in a scalar.,B,0.0,0.0,0.0
finetuned,7,mcq,An object in uniform circular motion has a constant: (A) Velocity (B) Speed (C) Acceleration vector (D) Displacement,"{""Acceleration"": {""x"": $23.705$, ""y"": $145.0$, ""units"": $m/s^2$}}",B,1.0,0.0,0.0
finetuned,8,numeric,calculate the work done (in Joules) by a 10 N force moving an object 5 meters in the direction of the force.,490.0,50,0.0,0.0,0.0
finetuned,9,explanation,Why does a passenger in a turning car feel pushed to the side?,"Passengers in a turning car feel pushed to the side due to inertia. Inertia is the tendency of an object to remain at rest, and it makes the car turn.","This is due to basic inertia (Newton's First Law). The passenger's body tends to continue moving in a straight line, while the car turns. The sensation of being pushed outward is a 'fictitious force' (centrifugal force) experienced in the non-inertial reference frame of the car.",0.0,0.0,1.5
finetuned,10,mcq,The slope of a velocity-time graph represents: (A) Displacement (B) Acceleration (C) Force (D) Momentum,"{""solution"": {""given"": {""A"": $3.0$, ""B"": $0.8$, ""C"": $8.0$, ""D"": $0.0$}, ""explanation"": ""The velocity-time graph represents:
- A: Displacement
- B: $0.8$
- C: Acceleration
- D: Momentum

By taking the derivative of the position function, we get the instantaneous velocity:
- $8.0$
- $0.8$
- $0.0$

These instants have a constant acceleration, which is the instantaneous acceleration.

The acceleration is the rate of change of the position, which is $0.8$.""}, ""explanation"": ""The acceleration is calculated as the rate of change of the position, which is $0.8$. This represents the instantaneous acceleration, which is the rate of change of the position.""}",B,1.0,0.0,0.0
finetuned,11,numeric,A 2 kg block slides down a frictionless 30-degree incline. value of g is 9.8 m/s^2. What is the acceleration along the incline in m/s^2?,"The acceleration along the incline in m/s^2 is the component of the weight along the incline, which is $9.8$ m/s^2.",4.9,0.0,0.0,0.0
finetuned,12,mcq,Which of Newton's laws explains recoil in a gun? (A) First Law (B) Second Law (C) Third Law (D) Law of Gravitation,"Second law gives the instantaneous velocity of an object at a point in time, which is the rate at which an object's momentum changes. It is the law that describes the cause-and-effect relationship between the position vectors of an object and the velocity vector at that point.",C,0.0,0.0,0.0
finetuned,13,explanation,Describe the relationship between kinetic energy and work as stated by the Work-Energy Theorem.,"{""description"": ""The Work-Energy Theorem states that work is the product of the kinetic energy of an object and the distance it travels. Mathematically, work is defined as the product of the kinetic energy of an object and the distance it travels. This relationship can be expressed in terms of work, which is the product of the kinetic energy of an object and the distance it moves. This relationship has been extensively verified through scientific experiments.""}","The Work-Energy Theorem states that the net work done on an object is equal to the change in its kinetic energy ($W_{net} = \Delta KE$). If positive work is done, kinetic energy increases; if negative work is done, it decreases.",0.0,0.0,0.0
finetuned,14,mcq,"If the distance between two masses is doubled, the gravitational force between them becomes: (A) Double (B) Half (C) One-fourth (D) Four times","{""solution"": {""x"": $2.0$, ""y"": $2.0$, ""unit"": $1$}}",C,0.0,0.0,0.0
finetuned,15,numeric,Convert 72 km/h to m/s.,$72$ km/h = $72 	imes 9$ m/s.,20,0.0,1.0,0.0
finetuned,16,explanation,Explain why static friction is usually greater than kinetic friction.,Static friction is typically greater than kinetic friction because the snowboarder is exerting a greater force.,"Static friction arises from the interlocking of irregularities and molecular bonds between surfaces at rest, requiring more force to break them ('cold welding'). Kinetic friction occurs when surfaces are already sliding, where the contact points don't have enough time to bond as strongly.",0.0,0.0,0.5
finetuned,17,mcq,Potential energy is associated with: (A) Motion (B) Position (C) Time (D) Velocity,"{""Solution"": {""(A): $1.5$ J, (B): $2.25$ J, (C): $1.35$ J, (D): $1.75$ J = $1.6$ N, (D) $1.75$ J = $0.6125$ N = $7.625$ J, (E): $7.625$ J = $1.0225$ = $2.1225$ = $16.2225$ = $1622.2225 = $12222.2225 = $102.2222222222222 = $130.333$ J.""}}",B,0.0,0.0,0.0
finetuned,18,numeric,A spring with constant k=100 N/m is compressed by 0.2 m. How much potential energy (in J) is stored?,$2$ J,2,0.0,1.0,0.0
finetuned,19,mcq,"In an inelastic collision, which quantity is conserved? (A) Kinetic Energy (B) Momentum (C) Both (D) Neither","{""A"": ""Kinetic Energy"", ""B"": ""Momentum"", ""C"": ""Both (D) Neither"", ""D"": ""Momentum""}",B,0.0,0.0,0.0
finetuned,20,explanation,What is the difference between mass and weight?,"Mass is the amount of matter in a substance, while weight is the force exerted on an object due to gravity.","Mass is the measure of the amount of matter in an object and is intrinsic (scalar, doesn't change with location). Weight is the force of gravity acting on that mass ($W=mg$) and depends on the local gravitational field (vector).",0.0,0.0,3.5
finetuned,21,mcq,The area under a force-displacement graph represents: (A) Impulse (B) Work (C) Power (D) Acceleration,"{""A"": {""x"": $3.00175$, ""y"": $2.0$, ""units"": ""J"", ""force_displacement"": ""Impulse""}}",B,0.0,0.0,0.0
finetuned,22,numeric,"What is the period (in seconds) of a pendulum of length 1 meter? (Assume g=9.8 m/s^2, use T = 2*pi*sqrt(L/g), pi approx 3.14)","{""period"": 1.6, ""unit"": ""s""}",2.0,0.0,0.0,0.0
finetuned,23,explanation,Use the concept of center of mass to explain why a high jumper uses the Fosbury Flop technique.,"The Fosbury Flop technique is an example of the concept of center of mass. The Fosbury Flop technique is an extension of the jump-and-run technique, where the runner uses her head and feet to push herself off the ground.",The Fosbury Flop allows the jumper to arch their back such that their center of mass passes *under* the bar while their body passes over it. This requires less energy/vertical lift compared to techniques where the center of mass must clear the bar height.,0.0,0.0,0.5
finetuned,24,mcq,Which force is non-conservative? (A) Gravity (B) Spring force (C) Friction (D) Electrostatic force,Gravitational force is non-conservative.,C,0.0,0.0,0.0
finetuned,25,numeric,A wheel rotates at 300 revolutions per minute. What is its angular velocity in rad/s? (Use pi=3.14),9.8,31.4,0.0,0.0,0.0
finetuned,26,explanation,Why is banking of roads used on curves?,Banking is used to increase the normal force on the tires and to provide the centripetal force required for the turn.,"Banking provides a component of the Normal force towards the center of the curve, which contributes to the necessary centripetal force. This reduces the reliance on friction to turn the vehicle, allowing for higher speeds or safer turns on slippery surfaces.",0.0,0.0,3.0
finetuned,27,mcq,The rate of change of momentum is equal to: (A) Impulse (B) Force (C) Energy (D) Power,"{""Equation"": ""The rate of change of momentum is: $J = \Delta K$"", ""Explanation"": ""The impulse is equal to the rate of change of the momentum.""}",B,0.0,0.0,0.0
finetuned,28,numeric,A 5 kg ball is dropped from a height of 10 meters. What is its potential energy relative to the ground? (g=9.8 m/s^2),490,490,0.0,1.0,0.0
