config,question_id,type,question,predicted,correct,score_mcq,score_numeric,score_explanation
finetuned,1,mcq,Which of the following units is an SI base unit? (A) Newton (B) Joule (C) Kilogram (D) Watt,"{""(A)"": ""Joule (B)"", ""(B): ""Joule (C)"": ""Watt (D)"", ""(C): ""Joule (C)"": ""Watt (D)"", ""(D): ""Kilogram (C)"": ""Watt (D)""}",C,0.0,0.0,0.0
finetuned,2,numeric,"If an object travels 100 meters in 4 seconds, what is its average speed in m/s?",25 m/s,25,0.0,1.0,0.0
finetuned,3,explanation,Explain the difference between accuracy and precision in the context of experimental physics.,"Accuracy refers to how close a measurement is to the accepted reference value, while precision refers to how close multiple measurements are to each other, regardless of the direction of the measurements.","Accuracy refers to how close a measurement is to the true or accepted value. Precision refers to how close repeated measurements are to each other, regardless of whether they are accurate.",0.0,0.0,4.5
finetuned,4,mcq,What is the dimension of Force? (A) MLT^-1 (B) MLT^-2 (C) ML^2T^-2 (D) LT^-2,"{""(A)"": ""Length"", ""(B): ""Length"", ""(C): ""Length^2T^2"", ""(D): ""Length^2T^2""}",B,0.0,0.0,0.0
finetuned,5,numeric,A car accelerates from rest to 20 m/s in 5 seconds. What is the magnitude of its average acceleration in m/s^2?,"Using the formula $a = \frac{v_0 + v}{2}$, the average acceleration would be: $a = \frac{20$ mph + $20$ mph to $20$ mph.",4,0.0,0.0,0.0
finetuned,6,mcq,Which vector operation results in a scalar? (A) Cross product (B) Dot product (C) Vector addition (D) Scalar multiplication,The dot product (B) is a scalar operation.,B,1.0,0.0,0.0
finetuned,7,mcq,An object in uniform circular motion has a constant: (A) Velocity (B) Speed (C) Acceleration vector (D) Displacement,"{""A"": {""x"": $6.0$, ""y"": $6.0$, ""units"": ""m/s""}}",B,0.0,0.0,0.0
finetuned,8,numeric,calculate the work done (in Joules) by a 10 N force moving an object 5 meters in the direction of the force.,"{""work"": {""x"": $10.0$, ""y"": $8.0$, ""units"": ""N""}}",50,0.0,0.0,0.0
finetuned,9,explanation,Why does a passenger in a turning car feel pushed to the side?,Passengers in a turning car feel pushed to the side because the force of friction is acting in the opposite direction of the motion.,"This is due to basic inertia (Newton's First Law). The passenger's body tends to continue moving in a straight line, while the car turns. The sensation of being pushed outward is a 'fictitious force' (centrifugal force) experienced in the non-inertial reference frame of the car.",0.0,0.0,2.5
finetuned,10,mcq,The slope of a velocity-time graph represents: (A) Displacement (B) Acceleration (C) Force (D) Momentum,"{""(A) Displacement"": ""The velocity is positive and the unit is $v/dt$."", ""(B): Displacement"": ""The velocity is negative and the unit is $-v/dt.$"", ""C"": ""Acceleration is the rate of change of velocity, which is negative."", ""(D): Momentum"": ""The force is negative, and the unit is $-v/dt.""}",B,0.0,0.0,0.0
finetuned,11,numeric,A 2 kg block slides down a frictionless 30-degree incline. value of g is 9.8 m/s^2. What is the acceleration along the incline in m/s^2?,"{""a"": {""x"": $9.8$, ""y"": $0$, ""units"": ""m/s^2""}}",4.9,0.0,0.0,0.0
finetuned,12,mcq,Which of Newton's laws explains recoil in a gun? (A) First Law (B) Second Law (C) Third Law (D) Law of Gravitation,Second Law (C) Law of gravitation,C,1.0,0.0,0.0
finetuned,13,explanation,Describe the relationship between kinetic energy and work as stated by the Work-Energy Theorem.,The work-energy theorem states that the net work on an object is equal to the rate of change of its kinetic energy.,"The Work-Energy Theorem states that the net work done on an object is equal to the change in its kinetic energy ($W_{net} = \Delta KE$). If positive work is done, kinetic energy increases; if negative work is done, it decreases.",0.0,0.0,3.5
finetuned,14,mcq,"If the distance between two masses is doubled, the gravitational force between them becomes: (A) Double (B) Half (C) One-fourth (D) Four times",One-four,C,0.0,0.0,0.0
finetuned,15,numeric,Convert 72 km/h to m/s.,"To convert $72$ km/h to m/s, we can use the conversion factor of $1$ km = $10^{3}$ m, which gives us $72$ km = $722$ m/s.",20,0.0,0.0,0.0
finetuned,16,explanation,Explain why static friction is usually greater than kinetic friction.,Static friction is often greater than kinetic friction because the object is stationary and requires more force to keep it moving.,"Static friction arises from the interlocking of irregularities and molecular bonds between surfaces at rest, requiring more force to break them ('cold welding'). Kinetic friction occurs when surfaces are already sliding, where the contact points don't have enough time to bond as strongly.",0.0,0.0,3.5
